num,tempo_funcao,tempo_usuario,tempo_sistema
556,2.6e-06,0.015179,0.002724
557,2.5e-06,0.015179,0.002741
558,3e-06,0.015179,0.002763
559,2.6e-06,0.015179,0.002779
560,2.8e-06,0.015179,0.002794
561,2.7e-06,0.015179,0.00281
562,3e-06,0.015179,0.00283
563,2.7e-06,0.015179,0.002845
564,2.8e-06,0.015179,0.002861
565,2.6e-06,0.015179,0.002881
566,2.7e-06,0.015179,0.002899
567,2.6e-06,0.015179,0.002914
568,2.6e-06,0.015179,0.002933
569,2.8e-06,0.015179,0.002948
570,2.7e-06,0.015179,0.002965
571,2.7e-06,0.015179,0.002981
572,2.8e-06,0.015179,0.003
573,2.9e-06,0.015179,0.003016
574,2.7e-06,0.015179,0.003032
575,2.6e-06,0.015179,0.003047
576,3e-06,0.015179,0.003067
577,2.7e-06,0.015179,0.003083
578,2.7e-06,0.015179,0.003102
579,2.7e-06,0.015179,0.003118
580,2.9e-06,0.015179,0.003134
581,2.7e-06,0.015179,0.003154
582,2.9e-06,0.015179,0.00317
583,2.7e-06,0.015179,0.003186
584,3.3e-06,0.015179,0.003205
585,2.9e-06,0.015179,0.003221
586,2.9e-06,0.015179,0.003237
587,3.4e-06,0.015179,0.003256
588,2.7e-06,0.015179,0.003272
589,3e-06,0.015179,0.003291
590,2.8e-06,0.015179,0.003307
591,2.82e-05,0.015179,0.00335
592,3.4e-06,0.015179,0.00341
593,3e-06,0.015179,0.003427
594,2.9e-06,0.015179,0.003447
595,2.9e-06,0.015179,0.003463
596,2.9e-06,0.015179,0.003479
597,2.7e-06,0.015179,0.003495
598,2.7e-06,0.015179,0.003513
599,2.9e-06,0.015179,0.003529
600,2.9e-06,0.015179,0.003547
601,2.8e-06,0.015179,0.003563
602,2.8e-06,0.015179,0.003579
603,2.8e-06,0.015179,0.003594
604,2.9e-06,0.015179,0.003613
605,2.8e-06,0.015179,0.003629
606,2.9e-06,0.015179,0.003645
607,2.9e-06,0.015179,0.003661
608,2.9e-06,0.015179,0.00368
609,2.8e-06,0.015179,0.003696
610,2.9e-06,0.015179,0.003712
611,2.8e-06,0.015179,0.003728
612,2.9e-06,0.015179,0.003747
613,2.8e-06,0.015179,0.003763
614,2.9e-06,0.015179,0.003779
615,2.9e-06,0.015179,0.003795
616,2.9e-06,0.015179,0.003813
617,2.9e-06,0.015179,0.003829
618,2.8e-06,0.015179,0.003845
619,3.1e-06,0.015179,0.003864
620,3.2e-06,0.015179,0.00388
621,2.8e-06,0.015179,0.003897
622,2.9e-06,0.015179,0.003916
623,3.4e-06,0.015179,0.003936
624,2.9e-06,0.015179,0.003952
625,3.2e-06,0.015179,0.003969
626,3e-06,0.015179,0.003985
627,3e-06,0.015179,0.004002
628,3.1e-06,0.015179,0.004019
629,2.9e-06,0.015179,0.004035
630,3.1e-06,0.015179,0.004052
631,3e-06,0.015179,0.004072
632,2.8e-06,0.015179,0.004089
633,2.7e-06,0.015179,0.004105
634,2.7e-06,0.015179,0.00412
635,2.9e-06,0.015179,0.004138
636,2.7e-06,0.015179,0.004153
637,2.7e-06,0.015179,0.00417
638,2.8e-06,0.015179,0.004192
639,2.7e-06,0.015179,0.004208
640,3.3e-06,0.015179,0.004228
641,2.9e-06,0.015179,0.004244
642,2.9e-06,0.015179,0.004265
643,3e-06,0.015179,0.004282
644,6.45e-05,0.015179,0.004363
645,3e-06,0.015179,0.004386
646,3.5e-06,0.015179,0.004406
647,3.1e-06,0.015179,0.004424
648,2.9e-06,0.015179,0.00444
649,3e-06,0.015179,0.004457
650,3e-06,0.015179,0.004476
651,2.9e-06,0.015179,0.004493
652,3e-06,0.015179,0.004509
653,3.1e-06,0.015179,0.004526
654,3.1e-06,0.015179,0.004546
655,3.1e-06,0.015179,0.004562
656,3.1e-06,0.015179,0.004579
657,3e-06,0.015179,0.004596
658,3e-06,0.015179,0.004614
659,3.2e-06,0.015179,0.004822
660,3.1e-06,0.015179,0.004842
661,3e-06,0.015179,0.004895
662,3.1e-06,0.015179,0.004912
663,3.1e-06,0.015179,0.004928
664,3e-06,0.015179,0.004945
665,3.1e-06,0.015179,0.004961
666,3.1e-06,0.015179,0.004982
667,3.1e-06,0.015179,0.004998
668,3.1e-06,0.015179,0.005015
669,2.9e-06,0.015179,0.005032
670,3.1e-06,0.015179,0.005051
671,3.1e-06,0.015179,0.005068
672,3.1e-06,0.015179,0.005085
673,3.4e-06,0.015179,0.005102
674,3.2e-06,0.015179,0.00512
675,3.2e-06,0.015179,0.005137
676,3.1e-06,0.015179,0.005153
677,3.7e-06,0.015179,0.005173
678,3.2e-06,0.015179,0.00519
679,3.1e-06,0.015179,0.005207
680,3.2e-06,0.015179,0.005225
681,3.5e-06,0.015179,0.005245
682,3.2e-06,0.015179,0.005262
683,3.2e-06,0.015179,0.00528
684,3.1e-06,0.015179,0.005297
685,3e-06,0.015179,0.005317
686,3.3e-06,0.015179,0.005338
687,3.2e-06,0.015179,0.005355
688,3.3e-06,0.015179,0.005372
689,3.58e-05,0.015179,0.005423
690,3.1e-06,0.015179,0.005447
691,3.2e-06,0.015179,0.005463
692,3.4e-06,0.015179,0.005484
693,3.3e-06,0.015179,0.005501
694,3.2e-06,0.015179,0.005518
695,3.3e-06,0.015179,0.005535
696,2.9e-06,0.015179,0.005555
697,3.2e-06,0.015179,0.005571
698,3.4e-06,0.015179,0.005589
699,3.3e-06,0.015179,0.005606
700,3.4e-06,0.015179,0.005623
701,3.3e-06,0.015179,0.00564
702,3.3e-06,0.015179,0.005656
703,3.3e-06,0.015179,0.005673
704,3.3e-06,0.015179,0.00569
