n,tempo_de_execucao
95410,0.005278 segundos
95510,0.005111 segundos
95610,0.004972 segundos
95710,0.005108 segundos
95810,0.005027 segundos
95910,0.005041 segundos
96010,0.005094 segundos
96110,0.005075 segundos
96210,0.005093 segundos
96310,0.005191 segundos
96410,0.005141 segundos
96510,0.00503 segundos
96610,0.005116 segundos
96710,0.005411 segundos
96810,0.005046 segundos
96910,0.005119 segundos
97010,0.005106 segundos
97110,0.005079 segundos
97210,0.005104 segundos
97310,0.005134 segundos
97410,0.005175 segundos
97510,0.00512 segundos
97610,0.005077 segundos
97710,0.005069 segundos
97810,0.005388 segundos
97910,0.004842 segundos
98010,0.004866 segundos
98110,0.004886 segundos
98210,0.004883 segundos
98310,0.005053 segundos
98410,0.004987 segundos
98510,0.004777 segundos
98610,0.004999 segundos
98710,0.004914 segundos
98810,0.004947 segundos
98910,0.005047 segundos
99010,0.004922 segundos
99110,0.004957 segundos
99210,0.005158 segundos
99310,0.004901 segundos
99410,0.004859 segundos
99510,0.004892 segundos
99610,0.005022 segundos
99710,0.004948 segundos
99810,0.005556 segundos
99910,0.005101 segundos
100010,0.005507 segundos
