n,tempo_de_execucao
108210,0.000629 segundos
108310,0.000639 segundos
108410,0.000629 segundos
108510,0.000642 segundos
108610,0.00064 segundos
108710,0.000639 segundos
108810,0.000631 segundos
108910,0.000644 segundos
109010,0.00064 segundos
109110,0.000648 segundos
109210,0.000652 segundos
109310,0.000643 segundos
109410,0.000643 segundos
109510,0.000634 segundos
109610,0.000642 segundos
109710,0.000635 segundos
109810,0.000644 segundos
109910,0.000641 segundos
110010,0.000649 segundos
110110,0.000733 segundos
110210,0.000684 segundos
110310,0.000651 segundos
110410,0.000693 segundos
110510,0.000647 segundos
110610,0.000661 segundos
110710,0.000665 segundos
110810,0.000666 segundos
110910,0.000683 segundos
111010,0.000711 segundos
111110,0.000657 segundos
111210,0.000659 segundos
111310,0.000675 segundos
111410,0.000697 segundos
111510,0.000658 segundos
111610,0.000646 segundos
111710,0.000667 segundos
111810,0.00066 segundos
111910,0.000648 segundos
112010,0.00068 segundos
112110,0.000673 segundos
112210,0.000698 segundos
112310,0.000672 segundos
112410,0.000657 segundos
112510,0.00069 segundos
112610,0.000661 segundos
112710,0.000664 segundos
112810,0.000658 segundos
112910,0.000662 segundos
113010,0.000656 segundos
113110,0.000696 segundos
113210,0.000672 segundos
113310,0.000657 segundos
113410,0.000668 segundos
113510,0.000779 segundos
113610,0.000848 segundos
113710,0.000802 segundos
113810,0.000807 segundos
113910,0.00081 segundos
114010,0.000764 segundos
114110,0.000678 segundos
114210,0.000705 segundos
114310,0.000645 segundos
114410,0.000619 segundos
114510,0.000642 segundos
114610,0.000621 segundos
114710,0.000639 segundos
114810,0.00064 segundos
114910,0.000636 segundos
115010,0.000622 segundos
115110,0.000639 segundos
115210,0.000706 segundos
115310,0.000646 segundos
115410,0.000978 segundos
115510,0.000674 segundos
